,# src,RA(deg),err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
234,234,20.3416968623,0.0073732927537,-21.4832979683,0.0079740346847,0.162111736611,0.0212197262605
235,235,39.3634768296,0.0014962688978,-24.7801143801,0.0017074568577,0.66441082437,0.0311565869281
236,236,19.9635424263,0.0058512284837,-14.3165174172,0.0070031913255,0.238297999062,0.0321143566684
237,237,39.6920645012,0.0031060261069,-15.5522379285,0.0040238426253,0.456462321523,0.0467629049474
238,238,14.0555979942,0.0019655123981,-26.4655385348,0.0029122415218,0.437304599044,0.0230419273667
239,239,22.6937539278,0.0080530625415,-6.74622387809,0.0108357652968,0.430831370257,0.0709325724422
240,240,27.3240561246,0.0046114455042,-14.4186358507,0.0048498867538,0.245598485919,0.0277359560966
241,241,35.1132280714,0.0023615849237,-20.2821068413,0.0034612528968,0.29854734871,0.0253113367082
242,242,10.472326295,0.0025564524493,-12.490562824,0.0032421641522,0.885412636021,0.0500252244496
243,243,38.6689788249,0.0012029918146,-33.0556483597,0.0016385487462,0.97502784578,0.0387936746681
244,244,38.1041252041,0.0054492424286,-35.4351435896,0.0061343798648,0.284028738523,0.0455549218419
245,245,24.5976988518,0.0040675987328,-35.2914175414,0.0081475296465,0.216842765804,0.0313705445271
246,246,16.1676576255,0.0081568635553,-18.2608126202,0.0084021476613,0.148919787463,0.0246224551167
247,247,28.2319166936,0.0008594956823,-37.8304437904,0.0014182855436,1.3264939923,0.044955477782
248,248,31.673536791,0.0020427306992,-30.5770630765,0.0031042034945,0.182603448855,0.024534167845
249,249,15.1714104819,0.0067756975954,-27.9194196643,0.0078043565831,0.181833364541,0.0256315992875
250,250,35.6010602962,0.0062279748468,-37.2489816359,0.0063618846732,0.42066727616,0.0519690990357
251,251,41.6228347971,0.0066575044956,-16.5150791806,0.0079730256649,0.302185016808,0.049752801957
252,252,33.2254303893,0.0045657126565,-23.0508187198,0.0050813645259,0.154499051915,0.0192247661127
253,253,25.9901958579,0.0036503513159,-20.951875055,0.0051072690723,0.190711527291,0.0168371327788
254,254,18.4666527554,0.0041772710908,-25.9362878693,0.0084235943525,0.117489528389,0.0175702467356
255,255,34.4267761967,0.0002432413631,-17.9556116341,0.0003003418159,3.50302819261,0.0245758516477
256,256,21.4047432136,0.0009716210932,-23.6175052754,0.002082297209,0.455532778355,0.0156402727706
257,257,22.8024202796,0.0038344641786,-25.4766785505,0.007054976972,0.166738884198,0.0190621656684
258,258,9.1650305312,0.0030915149689,-19.1579601233,0.004044093167,0.602275978926,0.0367311957423
259,259,31.37019985,0.0024429620969,-31.5364532134,0.0044010652325,0.223926881341,0.0209789398412
260,260,16.8508212157,0.0027652414006,-32.7368652255,0.0058679252169,0.243926767307,0.0305727022667
261,261,10.5226765594,0.0042098268737,-30.3430557181,0.0090010809185,0.200098282982,0.0340086117643
262,262,18.1348458276,0.0014023232955,-35.010599426,0.0026244656546,0.659121366235,0.0359383909697
263,263,24.2559391862,0.0029807392514,-30.2540555405,0.005176731145,0.190232908333,0.0215212990071
264,264,18.2700294723,0.0043557416183,-23.187741907,0.0054431449583,0.186700682482,0.0219465672695
265,265,29.2573903714,0.0056348421756,-17.6977594954,0.0112296140684,0.105507894294,0.0229897515921
266,266,35.4676264949,0.0036084573823,-32.3308639411,0.0067277865598,0.256369196483,0.0328605197836
267,267,31.8502710194,0.0024425686515,-16.5541484074,0.002894779505,0.327570100952,0.0242352914867
268,268,34.088215974,0.0038552175868,-29.6231410876,0.0083265916285,0.141734768682,0.0240502824055
269,269,16.3052735683,0.003833344672,-28.3950292173,0.0043541763051,0.244676923759,0.0197782130161
270,270,22.8458537748,0.0029950641581,-12.1762214339,0.0040856703049,0.399935592434,0.0325120442386
271,271,10.51307551,0.0040404275449,-19.8542347241,0.0065944640062,0.24000179085,0.0332751336352
272,272,17.7004140681,0.0019582151926,-33.6676267334,0.0034319260093,0.382362268242,0.0322563409211
273,273,11.0259411991,0.0026074797515,-25.9908574224,0.0036135133777,0.283845207567,0.0351846017149
274,274,40.3628999059,0.0011772196522,-17.5760986529,0.0012560462544,1.24636111569,0.0414007282362
275,275,41.5079386738,0.0038059352736,-27.5843732175,0.003492147553,0.48900636769,0.0448047195072
276,276,29.8584613638,0.0010451528123,-36.0834656786,0.0014777767995,1.06071437241,0.0339923539062
